Latitude,Longitude,Depth,Time,OriginID,EventID,JulianDate,Ndef,Grn,Srn,Mb,Ml,EvtType
37.021,-115.988,0,717260640,675330,653332,1992267,41,41,3,4.4,4.3,ex
37.021,-115.989,0.34,717260640,3963015,653332,1992267,-1,41,3,-999,-999,en
37.021,-115.988,0,717260640,5031582,653332,1992267,41,41,3,-999,4.4,ec
37.021,-115.988,0,717260640,6192665,653332,1992267,-1,41,3,4.4,-999,en
37.207,-116.21,0,716835600,675113,653134,1992262,43,41,3,4.4,-999,ex
37.207,-116.211,0.385,716835600.1,3963014,653134,1992262,-1,41,3,-999,-999,en
37.207,-116.21,0,716835600,5030224,653134,1992262,43,41,3,-999,4.4,ec
37.207,-116.21,0,716835600,6191983,653134,1992262,-1,41,3,4.4,-999,en
37.124,-116.031,0,709311600.1,670045,648423,1992175,33,41,3,-999,3.9,ex
37.124,-116.032,0.29,709311600.1,3963013,648423,1992175,-1,41,3,-999,-999,en
37.1015,-115.9642,0,709311600.5,4997183,648423,1992175,46,41,3,-999,4,qt
37.124,-116.031,0,709311600,6178249,648423,1992175,-1,41,3,-999,-999,en
37.005,-116.01,0,708972300,669827,648221,1992171,18,41,3,-999,3,ex
37.005,-116.011,0.244,708972300,3963010,648221,1992171,-1,41,3,-999,-999,en
37.005,-116.01,0,708972300,4996696,648221,1992171,18,41,3,-999,3,ec
37.005,-116.01,0,708972300,6177677,648221,1992171,-1,41,3,-999,-999,en
37.272,-116.36,0,701627400,664976,643767,1992086,340,41,3,5.5,5.4,ex
37.272,-116.361,0.622,701627400,3963008,643767,1992086,-1,41,3,-999,-999,en
37.272,-116.36,0,701627400,4980680,643767,1992086,340,41,3,-999,5.5,qf
37.272,-116.36,0,701627400,6165772,643767,1992086,-1,41,3,5.5,4.2,en
37.096,-116.07,0,691180500.1,659334,638595,1991330,65,41,3,4.6,4.6,ex
37.096,-116.07,0.457,691180500.1,3963007,638595,1991330,-1,41,3,-999,-999,en
37.1,-116.05,0,691180499.7,4969685,638595,1991330,55,41,3,-999,4.6,qt
37.096,-116.07,0,691180500,6151890,638595,1991330,-1,41,3,4.6,-999,en
37.063,-116.045,0,687813120,657477,636899,1991291,126,41,3,5.2,5,ex
37.063,-116.046,0.457,687813120,3963006,636899,1991291,-1,41,3,-999,-999,en
37.063,-116.045,0,687813120,4966178,636899,1991291,126,41,3,-999,5.2,ec
37.063,-116.045,0,687813120,6147979,636899,1991291,-1,41,3,5.2,-999,en
37.236,-116.166,0,685297800.1,656180,635695,1991262,36,41,3,4,3.8,ex
37.236,-116.167,0.264,685297800.1,3963005,635695,1991262,-1,41,3,-999,-999,en
37.2,-116.2,0,685297800.4,4241954,635695,1991262,20,41,3,-999,4.2,-
37.2,-116.2,0,685297800.4,4963163,635695,1991262,20,41,3,-999,4.1,qt
37.236,-116.166,0,685297800,6145197,635695,1991262,-1,41,3,4,-999,en
37.226,-116.428,0,684874800.1,655994,635527,1991257,283,41,3,5.5,5.3,ex
37.226,-116.429,0.658,684874800.1,3963004,635527,1991257,-1,41,3,-999,-999,en
